FaceID,HPAAvg,LPAAvg,NAAvg,,,ParticipantAvgHPA,ParticipantAvgNA,ParticipantAvgLPA,,Age,Sex,Ethnicity,Orientation,Education
002Avg,1.911111111,2.044444444,2.244444444,,,2.935483871,2.419354839,2.7,,28,female,white,straight,highschool
006Avg,2.866666667,2.8,3.2,,,2.096774194,2.290322581,2.166666667,,50,female,Hispanic/latino(a),straight,associates
011Avg,2.888888889,3.088888889,2.977777778,,,1.129032258,1.129032258,1.2,,23,female,white,straight,bachelor
012Avg,2.488888889,2.444444444,2.622222222,,,2,1.967741935,2,,29,female,white,straight,master
013Avg,2.311111111,2.177777778,2.511111111,,,2.580645161,2.580645161,2.466666667,,49,female,white,straight,master
015Avg,2.8,2.8,3,,,3.935483871,3.580645161,3.586206897,,68,female,white,straight,bachelor
017Avg,2.4,2.2,2.066666667,,,1.193548387,1.161290323,1.066666667,,55,female,Black/African American,straight,highschool
019Avg,2.25,2.340909091,2.333333333,,,2.64516129,2.580645161,2.466666667,,30,female,white,straight,master
020Avg,2.066666667,1.977777778,2.088888889,,,2.64516129,2.580645161,2.5,,49,female,white,straight,highschool
022Avg,2.511111111,2.533333333,2.511111111,,,4.032258065,3.935483871,4.033333333,,37,female,white,straight,highschool
024Avg,2.555555556,2.577777778,2.533333333,,,3.322580645,2.870967742,3.266666667,,35,female,white,straight,bachelor
028Avg,3.244444444,3.422222222,3.6,,,4.096774194,4,3.9,,54,female,white,straight,bachelor
029Avg,2.977777778,3.044444444,2.711111111,,,3.774193548,3.806451613,3.633333333,,68,female,white,straight,highschool
031Avg,4.244444444,3.977777778,4.533333333,,,2.517241379,2.419354839,2.433333333,,34,female,white,straight,bachelor
032Avg,2.377777778,2.822222222,3.088888889,,,3.129032258,3.322580645,3,,23,female,white,straight,bachelor
033Avg,1.844444444,1.822222222,1.866666667,,,2.35483871,2.806451613,2.733333333,,24,female,Hispanic/latino(a),straight,associates
034Avg,3.844444444,3.733333333,3.777777778,,,2.774193548,2.451612903,2.733333333,,69,female,white,straight,doctrate
038Avg,2.5,2.2,2.177777778,,,2.741935484,2.709677419,2.633333333,,47,female,white,straight,highschool
237Avg,3.288888889,3.377777778,3.133333333,,,2.129032258,2.290322581,2.1,,36,female,white,straight,bachelor
040Avg,2.888888889,2.340909091,2.444444444,,,1.548387097,1.612903226,1.433333333,,20,female,Hispanic/latino(a),straight,highschool
222Avg,3.577777778,3.711111111,3.022222222,,,1.451612903,1.516129032,1.3,,29,female,white,straight,bachelor
248Avg,2.333333333,2.4,2.222222222,,,2.838709677,2.709677419,2.433333333,,34,female,white,straight,bachelor
251Avg,2.577777778,2.511111111,2.288888889,,,1.387096774,1.35483871,1.466666667,,47,female,Black/African American,straight,master
249Avg,2.2,2.422222222,2.311111111,,,1.35483871,1.290322581,1.266666667,,52,female,white,straight,highschool
255Avg,2.644444444,2.533333333,2.6,,,2.064516129,1.870967742,1.866666667,,33,female,white,straight,bachelor
256Avg,3.511111111,3.644444444,3,,,3.838709677,3.870967742,3.7,,40,female,white,straight,highschool
023Avg,2.622222222,2.444444444,2.444444444,,,2.903225806,2.806451613,2.733333333,,37,female,white,straight,master
212Avg,2.222222222,2.133333333,1.955555556,,,4.064516129,4,4.166666667,,56,female,Black/African American,straight,bachelor
240Avg,3.177777778,2.4,2.733333333,,,3.419354839,3.709677419,3.533333333,,54,female,Asian,straight,bachelor
243Avg,2.622222222,2.355555556,2.466666667,,,2.709677419,2.709677419,2.733333333,,60,female,white,straight,bachelor
244Avg,2.533333333,2.444444444,2.488888889,,,2.193548387,2.35483871,2.5,,47,female,white,straight,highschool
,,,,,,1.032258065,1.032258065,1.066666667,,38,female,white,straight,highschool
,,,,,,1.161290323,1.225806452,1.166666667,,18,female,Multicultural,straight,highschool
,,,,,,1.129032258,1.258064516,1.233333333,,38,female,Black/African American,straight,highschool
,,,,,,2.225806452,1.935483871,1.9,,53,female,Black/African American,straight,bachelor
,,,,,,4,4,3.833333333,,52,female,white,straight,bachelor
,,,,,,1.419354839,1.35483871,1.366666667,,29,female,Multicultural,straight,bachelor
,,,,,,1.548387097,1.677419355,1.4,,29,female,Multicultural,straight,bachelor
,,,,,,1.741935484,1.612903226,1.766666667,,24,female,Multicultural,straight,highschool
,,,,,,6.64516129,6.580645161,6.620689655,,30,female,Multicultural,straight,highschool
,,,,,,3.935483871,3.870967742,3.8,,54,female,white,straight,master
,,,,,,4.225806452,4.193548387,4.233333333,,42,female,white,straight,bachelor
,,,,,,3.161290323,3.193548387,3.733333333,,31,female,white,straight,bachelor
,,,,,,4,3.870967742,4.066666667,,42,female,white,straight,bachelor
,,,,,,4.322580645,3.903225806,4.133333333,,36,female,white,straight,master
