FaceID,HPAAvg,LPAAvg,NAAvg,HPTAvg,LPTAvg,NTAvg
002Avg,1.911111111,2.044444444,2.244444444,2.280701754,2.526315789,2.754385965
006Avg,2.866666667,2.8,3.2,3.49122807,3.543859649,3.333333333
011Avg,2.888888889,3.088888889,2.977777778,3.210526316,3.333333333,3.192982456
012Avg,2.488888889,2.444444444,2.622222222,3.649122807,3.736842105,3.614035088
013Avg,2.311111111,2.177777778,2.511111111,3.350877193,3.421052632,3.526315789
015Avg,2.8,2.8,3,3.5625,3.105263158,3.807017544
017Avg,2.4,2.2,2.066666667,3.105263158,3.280701754,3.052631579
019Avg,2.25,2.340909091,2.333333333,2.894736842,3,2.877192982
020Avg,2.066666667,1.977777778,2.088888889,3.228070175,3.543859649,3.333333333
022Avg,2.511111111,2.533333333,2.511111111,3.140350877,3.49122807,3.403508772
024Avg,2.555555556,2.577777778,2.533333333,3.736842105,4.649122807,4.245614035
028Avg,3.244444444,3.422222222,3.6,3.701754386,3.842105263,3.824561404
029Avg,2.977777778,3.044444444,2.711111111,4.333333333,4.385964912,4.614035088
031Avg,4.244444444,3.977777778,4.533333333,3.280701754,4.315789474,4.157894737
032Avg,2.377777778,2.822222222,3.088888889,2.771929825,3.070175439,3.122807018
033Avg,1.844444444,1.822222222,1.866666667,4.122807018,4.105263158,4.122807018
034Avg,3.844444444,3.733333333,3.777777778,3.052631579,2.877192982,2.947368421
038Avg,2.5,2.2,2.177777778,3.298245614,3.561403509,3.49122807
237Avg,3.288888889,3.377777778,3.133333333,3.01754386,3.526315789,3.456140351
040Avg,2.888888889,2.340909091,2.444444444,3.122807018,3.228070175,3.175438596
222Avg,3.577777778,3.711111111,3.022222222,3.035087719,3.035087719,2.824561404
248Avg,2.333333333,2.4,2.222222222,3.245614035,3.245614035,3.333333333
251Avg,2.577777778,2.511111111,2.288888889,3.877192982,3.789473684,4.052631579
249Avg,2.2,2.422222222,2.311111111,2.789473684,3,2.859649123
255Avg,2.644444444,2.533333333,2.6,3.473684211,3.403508772,3.280701754
256Avg,3.511111111,3.644444444,3,3.543859649,3.631578947,3.473684211
023Avg,2.622222222,2.444444444,2.444444444,3.947368421,3.789473684,4.122807018
212Avg,2.222222222,2.133333333,1.955555556,3.684210526,3.578947368,3.122807018
240Avg,3.177777778,2.4,2.733333333,2.912280702,3.298245614,3.298245614
243Avg,2.622222222,2.355555556,2.466666667,2.49122807,2.456140351,2.49122807
244Avg,2.533333333,2.444444444,2.488888889,3.315789474,3.543859649,3.368421053
