ParticipantAvgHPA,ParticipantAvgNA,ParticipantAvgLPA,ParticipantAvgHPT,ParticipantAvgNT,ParticipantAvgLPT
2.935483871,2.419354839,2.7,1.967741935,2.129032258,2.419354839
2.096774194,2.290322581,2.166666667,2,2.161290323,2.096774194
1.129032258,1.129032258,1.2,1.419354839,1.580645161,1.677419355
2,1.967741935,2,3.322580645,3.451612903,3.322580645
2.580645161,2.580645161,2.466666667,3.161290323,3.387096774,3.483870968
3.935483871,3.580645161,3.586206897,1.032258065,1.032258065,1.032258065
1.193548387,1.161290323,1.066666667,3.935483871,3.967741935,4.258064516
2.64516129,2.580645161,2.466666667,2.35483871,2.35483871,2.290322581
2.64516129,2.580645161,2.5,5.258064516,5.258064516,5.419354839
4.032258065,3.935483871,4.033333333,3.806451613,4.258064516,4.322580645
3.322580645,2.870967742,3.266666667,4.225806452,4.322580645,4.483870968
4.096774194,4,3.9,2.129032258,2.225806452,2.290322581
3.774193548,3.806451613,3.633333333,3.903225806,3.806451613,4.096774194
2.517241379,2.419354839,2.433333333,4.483870968,4.419354839,4.483870968
3.129032258,3.322580645,3,3.193548387,3.387096774,2.838709677
2.35483871,2.806451613,2.733333333,2.967741935,2.580645161,2.967741935
2.774193548,2.451612903,2.733333333,3.129032258,3,3.161290323
2.741935484,2.709677419,2.633333333,3.451612903,4.064516129,4.225806452
2.129032258,2.290322581,2.1,3.161290323,3.322580645,3.35483871
1.548387097,1.612903226,1.433333333,2,2.129032258,2.322580645
1.451612903,1.516129032,1.3,4.967741935,4.806451613,4.967741935
2.838709677,2.709677419,2.433333333,2.225806452,2.322580645,2.419354839
1.387096774,1.35483871,1.466666667,3.838709677,4.064516129,4.032258065
1.35483871,1.290322581,1.266666667,3.741935484,4.35483871,4.161290323
2.064516129,1.870967742,1.866666667,4.225806452,4.580645161,4.161290323
3.838709677,3.870967742,3.7,4,4,4
2.903225806,2.806451613,2.733333333,3.838709677,3.967741935,4.096774194
4.064516129,4,4.166666667,4.032258065,3.870967742,4.35483871
3.419354839,3.709677419,3.533333333,1.903225806,2.064516129,1.967741935
2.709677419,2.709677419,2.733333333,2.129032258,2.064516129,2.193548387
2.193548387,2.35483871,2.5,4.838709677,4.709677419,5.193548387
1.032258065,1.032258065,1.066666667,3.935483871,4.032258065,4.35483871
1.161290323,1.225806452,1.166666667,1.387096774,1.677419355,1.870967742
1.129032258,1.258064516,1.233333333,4.451612903,4.35483871,4.225806452
2.225806452,1.935483871,1.9,3.387096774,3.580645161,3.580645161
4,4,3.833333333,2.225806452,2.516129032,2.483870968
1.419354839,1.35483871,1.366666667,3.548387097,3.419354839,3.612903226
1.548387097,1.677419355,1.4,4.870967742,4.870967742,5.161290323
1.741935484,1.612903226,1.766666667,3.483870968,3.64516129,3.870967742
6.64516129,6.580645161,6.620689655,3.225806452,3.35483871,3.419354839
3.935483871,3.870967742,3.8,3,3.451612903,3.516129032
4.225806452,4.193548387,4.233333333,3.129032258,3.193548387,3.290322581
3.161290323,3.193548387,3.733333333,4.451612903,4.516129032,4.322580645
4,3.870967742,4.066666667,3.451612903,3.580645161,3.419354839
4.322580645,3.903225806,4.133333333,3.64516129,3.161290323,3.419354839
,,,3.451612903,3.64516129,3.64516129
,,,3.258064516,3.483870968,3.580645161
,,,3.548387097,3.580645161,3.612903226
,,,2.935483871,3.096774194,3.387096774
,,,2.935483871,2.967741935,3.032258065
,,,3.387096774,3.322580645,3.516129032
,,,4,4,4
,,,1.870967742,2.096774194,2.290322581
,,,3.870967742,3.903225806,3.903225806
,,,3.387096774,3.741935484,3.677419355
,,,3.580645161,3.806451613,3.612903226
,,,3.580645161,4,3.838709677
