FaceID,HPTAvg,LPTAvg,NTAvg,,,ParticipantAvgHPT,ParticipantAvgNT,ParticipantAvgLPT,,,Age,Sex,Ethniticty,Orientation,Education
002Avg,2.280701754,2.526315789,2.754385965,,,1.967741935,2.129032258,2.419354839,,,60,male,white,Bisexual,master
006Avg,3.49122807,3.543859649,3.333333333,,,2,2.161290323,2.096774194,,,33,female,white,straight,highschool
011Avg,3.210526316,3.333333333,3.192982456,,,1.419354839,1.580645161,1.677419355,,,43,male,white,straight,bachelor
012Avg,3.649122807,3.736842105,3.614035088,,,3.322580645,3.451612903,3.322580645,,,39,female,white,Bisexual,highschool
013Avg,3.350877193,3.421052632,3.526315789,,,3.161290323,3.387096774,3.483870968,,,25,female,white,Bisexual,associates
015Avg,3.5625,3.105263158,3.807017544,,,1.032258065,1.032258065,1.032258065,,,51,female,white,straight,bachelor
017Avg,3.105263158,3.280701754,3.052631579,,,3.935483871,3.967741935,4.258064516,,,37,female,white,straight,highschool
019Avg,2.894736842,3,2.877192982,,,2.35483871,2.35483871,2.290322581,,,23,female,Asian,Bisexual,bachelor
020Avg,3.228070175,3.543859649,3.333333333,,,5.258064516,5.258064516,5.419354839,,,36,male,white,straight,highschool
022Avg,3.140350877,3.49122807,3.403508772,,,3.806451613,4.258064516,4.322580645,,,46,female,Black/African American,straight,highschool
024Avg,3.736842105,4.649122807,4.245614035,,,4.225806452,4.322580645,4.483870968,,,36,male,white,straight,bachelor
028Avg,3.701754386,3.842105263,3.824561404,,,2.129032258,2.225806452,2.290322581,,,23,female,Black/African American,Bisexual,highschool
029Avg,4.333333333,4.385964912,4.614035088,,,3.903225806,3.806451613,4.096774194,,,32,male,Black/African American,Gay/Lesbian,master
031Avg,3.280701754,4.315789474,4.157894737,,,4.483870968,4.419354839,4.483870968,,,21,female,Multicultural,straight,associates
032Avg,2.771929825,3.070175439,3.122807018,,,3.193548387,3.387096774,2.838709677,,,45,non-binary,Black/African American,Perfer Not to say,bachelor
033Avg,4.122807018,4.105263158,4.122807018,,,2.967741935,2.580645161,2.967741935,,,49,female,Black/African American,straight,highschool
034Avg,3.052631579,2.877192982,2.947368421,,,3.129032258,3,3.161290323,,,59,male,white,Gay/Lesbian,bachelor
038Avg,3.298245614,3.561403509,3.49122807,,,3.451612903,4.064516129,4.225806452,,,26,male,Hispanic/latino(a),straight,associates
237Avg,3.01754386,3.526315789,3.456140351,,,3.161290323,3.322580645,3.35483871,,,53,female,white,straight,highschool
040Avg,3.122807018,3.228070175,3.175438596,,,2,2.129032258,2.322580645,,,34,female,white,straight,bachelor
222Avg,3.035087719,3.035087719,2.824561404,,,4.967741935,4.806451613,4.967741935,,,30,female,white,Bisexual,associates
248Avg,3.245614035,3.245614035,3.333333333,,,2.225806452,2.322580645,2.419354839,,,31,female,Asian,Bisexual,highschool
251Avg,3.877192982,3.789473684,4.052631579,,,3.838709677,4.064516129,4.032258065,,,34,female,white,straight,bachelor
249Avg,2.789473684,3,2.859649123,,,3.741935484,4.35483871,4.161290323,,,49,female,white,straight,highschool
255Avg,3.473684211,3.403508772,3.280701754,,,4.225806452,4.580645161,4.161290323,,,44,female,white,straight,bachelor
256Avg,3.543859649,3.631578947,3.473684211,,,4,4,4,,,52,female,white,straight,master
023Avg,3.947368421,3.789473684,4.122807018,,,3.838709677,3.967741935,4.096774194,,,35,male,white,straight,highschool
212Avg,3.684210526,3.578947368,3.122807018,,,4.032258065,3.870967742,4.35483871,,,33,male,Multicultural,straight,associates
240Avg,2.912280702,3.298245614,3.298245614,,,1.903225806,2.064516129,1.967741935,,,21,male,Asian,Bisexual,highschool
243Avg,2.49122807,2.456140351,2.49122807,,,2.129032258,2.064516129,2.193548387,,,54,female,white,straight,bachelor
244Avg,3.315789474,3.543859649,3.368421053,,,4.838709677,4.709677419,5.193548387,,,43,male,Asian,straight,highschool
,,,,,,3.935483871,4.032258065,4.35483871,,,33,male,Black/African American,straight,highschool
,,,,,,1.387096774,1.677419355,1.870967742,,,28,male,white,straight,bachelor
,,,,,,4.451612903,4.35483871,4.225806452,,,38,non-binary,Asian,other,master
,,,,,,3.387096774,3.580645161,3.580645161,,,64,male,white,straight,doctrate
,,,,,,2.225806452,2.516129032,2.483870968,,,48,male,white,straight,bachelor
,,,,,,3.548387097,3.419354839,3.612903226,,,60,female,Black/African American,straight,associates
